1100,IS,61,"North east Coast, Raudinúpur to Glettinganes",65.5,67.1666666667,16.6666666667,10.55,94/09,300000,65°00'N
1101,IS,71,Glettinganes – Stokksnes,63.8333333333,65.5833333333,15.0833333333,9,07/,300000,65°00'N
1102,IS,81,Stokksnes to Dyrhólaey,62.5,64.3333333333,19.25,13.1666666667,04/,300000,65°00'N
1103,IS,31,Dyrhólaey Snæfellsnes,63.0333333333,64.8666666667,25.2666666667,19.1333333333,98/08,300000,65°00'N
1104,IS,41,Vestfir?ir,64.7,67.1833333333,26.4666666667,22.3333333333,08/,300000,65°00'N
1105,IS,51,"North Coast of Iceland, Horn - Raudinúpur",65.5333333333,67.2,22.55,16.4166666667,01/10,300000,65°00'N
1105PlanA,IS,51,Plan A – Continuation of Húnaflói,65.1333333333,65.6666666667,21.5,20.8666666667,01/10,300000,65°00'N
1110,IS,57,Eyjafjördur,65.6666666667,66.4833333333,19.3833333333,18,98/03,100000,65°00'N
1111,IS,73,Glettinganes Hla?a,64.675,65.5166666667,14.2666666667,12.9083333333,95/07,100000,65°00'N
1112,IS,36,Selvogur – Hjörsey (Approaches to Reykjavík),63.65,64.5333333333,22.9833333333,21.6,97/09,100000,65°00'N
1113,IS,362,Reykjavík,64.1318333333,64.1931666667,22.0041666667,21.8,01/13,10000,65°00'N
1114,IS,46,Ísafjardardjúp,65.7666666667,66.5833333333,23.7166666667,22.3333333333,03/10,100000,65°00'N
1118,IS,530,Akureyri,65.6666666667,65.7166666667,18.1333333333,18.0333333333,98/07,10000,65°00'N
