INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat
1071,FR,7311,La Manche (Partie Ouest) – De Isle of Scilly et de l’Ile d’Ouessant aux Casquets,48.2483333333,50.7983333333,6.9183333333,1.1683333333,94/09,375000,50°00'N
1700,GB,2565,"English Channel, Saint Agnes Head to Dodman Point including the Isles of Scilly",49.3815,50.4166666667,7.135,4.7845,93/12,150000,51°00'N
1701,GB,442,Lizard Point to Berry head,49.382,50.4173333333,5.2261666667,2.8755,87/02,150000,51°00'N
1702,GB,2454,Start Point to the Needles,49.7135,50.7416666667,3.8833333333,1.5333333333,88/08,150000,51°00'N
1706,FR,6966,Des Héaux-de-Bréhat au Cap Levi,48.5,50.0366666667,3.0883333333,1.4883333333,84/01,155000,49°15'N
1707,FR,6930,Des Roches de Portsall au Plateau des Roches Douvres,48.4983333333,49.5516666667,4.835,2.485,85/09,150000,49°02'N
1708,FR,6680,De l’Ile d’Ouessant à l’Ile de Batz,48.3588333333,49.4158333333,6.3015,3.9513333333,80/03,150000,48°53'N
1719,GB,154,Approaches to Falmouth,49.9088333333,50.2173333333,5.211,4.9041666667,85/13,35000,**
1719PlanA,GB,154,Plan A – Nare head to Dodman Point,50.1788333333,50.2473333333,4.9178333333,4.801,85/13,35000,**
1720,GB,32,"England – South Coast, Falmouth to Truro",50.1255,50.2358333333,5.1028333333,4.9925,84/13,12500,**
1720PlanA,GB,32,Plan A – Continuation of Truro River,50.233,50.2641666667,5.0595,5.006,84/13,12500,**
1720PlanB,GB,32,Plan B – Continuation to Tresillian River,50.2606666667,50.2806666667,5.0161666667,4.988,84/13,20000,**
1720PlanC,GB,32,Plan C – Continuation of River Fal (Ruan Creek),50.2201666667,50.2433333333,4.9996666667,4.951,84/13,20000,**
1721,GB,31,Harbours on the South Coast of Cornwall,,,,,85/14,,
1721PlanA,GB,31,Plan A – Charlestown Harbour,50.3238333333,50.3348333333,4.7618333333,4.7425,85/14,5000,**
1721PlanB,GB,31,Plan B – Par Harbour,50.3255,50.351,4.7228333333,4.6756666667,85/14,7500,**
1721PlanC,GB,31,Plan C – Fowey Harbour,50.315,50.3505,4.6573333333,4.6115,85/14,15000,**
1721PlanD,GB,31,Plan D – River Fowey,50.344,50.3851666667,4.6586666667,4.6161666667,85/14,15000,**
1721PlanE,GB,31,Plan E – Continuation of the River Fowey,50.3813333333,50.409,4.6695,4.6513333333,85/14,15000,**
1722,GB,30,Plymouth Sound and Approaches,50.2973333333,50.3705,4.2278333333,4.0346666667,86/10,12500,**
1722Cont,GB,30,Continuation of Hamoaze,50.3671666667,50.4123333333,4.2128333333,4.1793333333,86/10,12500,**
1723,GB,2253,"England – South Coast, Darmouth Harbour",50.3195,50.3756666667,3.587,3.53,88/13,6250,**
1723PlanA,GB,2253,"Plans A – River Dart, Continuation to Blackness Point",50.3738333333,50.3951666667,3.6111666667,3.5745,88/13,6250,**
1723PlanB,GB,2253,"Plan B – River Dart, Blackness Point to Berry Rock",50.3883333333,50.4135,3.6671666667,3.6061666667,88/13,12500,**
1723PlanC,GB,2253,"Plan C – River Dart, Continuation to Totnes",50.4071666667,50.4323333333,3.6846666667,3.657,88/13,12500,**
1724,GB,26,Harbours on the South Coast of Devon,,,,,86/12,12500,**
1724PlanA,GB,26,Plan A – Tor Bay,50.3796666667,50.4663333333,3.568,3.457,86/12,12500,**
1724PlanB,GB,26,Plan B – Brixham Harbour,50.3945166667,50.4066666667,3.522,3.4988333333,86/12,7500,**
1724PlanC,GB,26,Plan C – Teignmouth Harbour,50.5341666667,50.5476666667,3.5111666667,3.478,86/12,7500,**
1724PlanD,GB,26,Plan D – Torquay Harbour,50.4561666667,50.4633333333,3.5313333333,3.5236666667,86/12,4000,**
1725,GB,2255,Approaches to Portland and Weymouth,50.4718333333,50.6518333333,2.4903333333,2.307,87/10,20000,**
1726,GB,2611,Poole Harbour and Approaches,50.6515,50.7248333333,2.0798333333,1.9063333333,87/13,12500,**
1726PlanA,GB,2611,Plan A – Continuation of Holes Bay,50.717,50.7388333333,2.0123333333,1.9835,87/13,12500,**
1726PlanB,GB,2611,Plan B – Continuation to Wareham,50.6788333333,50.6948333333,2.1131666667,2.0746666667,87/13,12500,**
1754,FR,7130,Approches de Saint Malo,48.6136666667,48.7148333333,2.194,1.9701666667,91/02,15000,48°39’N
1755,FR,7127,"Abords de l’île de Bréhat, Anse de Paimpol, Entrée du Trieux",48.713,48.9106666667,3.0946666667,2.8913333333,91/07,20000,48°48’N
1755PlanA,FR,7127,Plan A – Port de Lézardrieux – Le Trieux,48.779,48.8065,3.1096666667,3.0825,91/07,10000,-0
1755PlanB,FR,7127,Plan B – Port de Paimpol,48.7781666667,48.7916666667,3.0503333333,3.0218333333,91/07,10000,-0
1756,FR,7095,Baie de Morlaix – De l’Ile de Batz à la Pointe de Primel,48.6356666667,48.7705,4.0593333333,3.8156666667,88/13,20000,48°42’N
1756PlanA,FR,7095,Plan A – Ports de Roscoff,48.7115,48.7373333333,3.9868333333,3.9443333333,88/13,10000,-0
1756PlanB,FR,7095,Plan B – Rivière de Morlaix,48.5773333333,48.649,3.87,3.8315,88/13,15000,-0
1757,FR,7094,Du Phare Du Four à l’Ile Vierge – Port de l’Aber-Wrac’h,48.5115,48.6796666667,4.8651666667,4.4931666667,88/07,25000,48°35’N
1757PlanA,FR,7094,Plan A – Aber-Wrac’h,48.5841666667,48.6056666667,4.5715,4.5105,88/07,15000,-0
