INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. – Date NE)
,,,,,,,,,,,,
SMALL SCALE INT CHARTS,,,,,,,,,,,,
608,CL,900,Guayaquil a Valparaiso,-34,-1,-91,-70,77/,3500000,-22.5,,"DE, FR, GB (4608-10), US"
609,CL,910,Valparaiso a Islas Diego Ramírez,-57,-33,-86.5,-65,77/,3500000,-22.5,,"DE, FR, GB (4609-10), US"
610,CL,525,Isla de Pascua e Isla Salas y Gómez,-36,-18,-118,-97,(88)/,2500000,-27,,
,,,,,,,,,,,,
NORTHWESTERN OF SOUTH AMERICA,,,,,,,,,,,,
6000,CO,COL/006,Coasta Oeste de Colombia - Bahía de Panamá a Cabo San Francisco,0.5,9.0833333333,-86,-77,90/11,1000000,5.1833333333,,
6001,EC,,,,,,,,1000000,-1,,
6002,EC,,,,,,,,1000000,-1,,
6003,PE,,,,,,,,1000000,-5.8333333333,,
6004,PE,,,,,,,,1000000,-10.9166666667,,
6005,PE,,,,,,,,1000000,-10.6666666667,,
6006,CL,510,Rada de Arica a Rada de Antofagasta,-23.8333333333,-18,-80.5,-69.8333333333,---,1000000,-20.9166666667,,
6007,CL,520,Rada de Antofagasta a Puerto Huasco,-28.8333333333,-23,-80.6666666667,-70,--,1000000,-25.9166666667,,
6100,CO,COL/030,Canal de Panama a Golfo de Cupica,6.1166666667,9.45,-81.8333333333,-77.1666666667,94/04,500000,7.7833333333,,
6105,CO,COL/031,Golfo de Cupica a Bahía de Buenaventura,3.5,6.7833333333,-81.75,-77,95/04,500000,5.1166666667,,
6110,CO,COL/032,Bahía de Buenaventura a Bahía Ancón de Sardinas,0.9166666667,4.1166666667,-81.7833333333,-77.05,97/04,500000,2.5166666667,,
6115,EC,,,,,,,,500000,0.25,,
6120,EC,EC/20,,,,,,96/,500000,0.0833333333,,
6125,EC,,,,,,,,500000,-2.25,,
6130,PE,,,,,,,,500000,-4.5416666667,,
6135,PE,,,,,,,,500000,-7.2916666667,,
6140,PE,,,,,,,,500000,-9.9583333333,,
6145,PE,,,,,,,,500000,-12.6666666667,,
6150,PE,,,,,,,,500000,-15.3333333333,,
6155,PE,,,,,,,,500000,-17,,
6200,CL,1000,Rada de Arica a Bahía Mejillones del Sur,-23.2666666667,-18.1666666667,-73,-69.8333333333,(94)/,500000,-20.7166666667,,
6205,CL,2000,Bahía Mejillones del Sur a Puerto Caldera,-27.2166666667,-22.6666666667,-73,-69.8333333333,(79)/,500000,-24.9416666667,,
6215,CL,2410,Isla San Féliz y San Ambrosio,-26.4855,-26.1471666667,-80.2166666667,-79.7155,--,50000,-26.3166666667,,
,,,,,,,,,,,,
SOUTHWESTERN OF SOUTH AMERICA,,,,,,,,,,,,
6008,CL,530,Puerto Huasco a Bahia Valparaiso,-33.9166666667,-28,-81.6666666667,-71,--,1000000,-30.9583333333,,
6009,CL,540,Bahía Valparaíso a Isla Mocha,-38.8333333333,-32.8333333333,-82,-71.3333333333,--,1000000,-35.8333333333,,
6010,CL,550,Isla Mocha a Isla Guafo,-44,-38,-82.8333333333,-72.1666666667,--,1000000,-41,,
6011,CL,560,Isla Guafo a Isla Duque de York,-51.5,-43.5,-80,-72,(55)/,1000000,-47.5,,
6012,CL,570,Isla Diego de Almagro a Islas Diego Ramírez,-57,-51,-77.5,-63.5,(60)/,1000000,-54,,
6013,CL,580,Isla Noir a Isla de Los Estados,-60.8333333333,-54.3333333333,-79,-63.3,--,1000000,-57.5833333333,,
6220,CL,3000,Puerto Caldera a Bahía Coquimbo,-30.3333333333,-26.5833333333,-73.5,-70.5,(79)/,500000,-28.4583333333,,
6225,CL,4000,Bahía Coquimbo a Bahía Valparaíso,-33.3333333333,-29.6666666667,-74,-71,(84)/,500000,-31.5,,
6230,CL,5400,Archipiélago Juan Fernández,-35.3333333333,-32,-82.3333333333,-77,--,500000,-33.6666666667,,
6235,CL,5000,Bahía Valparaíso a Golfo de Arauco,-37.3333333333,-32.6666666667,-74.8333333333,-71.3333333333,(81)/,500000,-35,,
6240,CL,6000,Golfo de Arauco a Bahía Corral,-40.3333333333,-36.5,-76,-72.6666666667,(80)/,500000,-38.4166666667,,
6245,CL,7000,Bahía Corral a Isla Guafo,-44,-39.6666666667,-76,-72.3333333333,(01)/,500000,-41.8333333333,,
6250,CL,8000,Isla Guafo a Golfo de Penas,-47.1666666667,-43.1666666667,-77,-72.3333333333,(01)/,500000,-45.0833333333,,
6255,CL,9000,Golfo de Penas a Golfo Trinidad,-50.3333333333,-46.3333333333,-77.5,-74,(74)/,500000,-48.3333333333,,
6260,CL,10000,Canal Trinidad a Estrecho de Magallanes,-53.0833333333,-49.6666666667,-77,-73.1833333333,(70)/,500000,-51.375,,
6265,CL,11000,Islotes Evangelistas a Punta Dungeness,-54.6666666667,-51.3333333333,-75.4166666667,-67.2333333333,(97)/,500000,-53,,
6270,CL,12000,Isla Santa Ines a Isla Diego Ramírez,-56.8333333333,-53.5,-77,-68.5,--,500000,-55.1666666667,,
6275,CL,13000,Boca Oriental del Estrecho de Magallanes a Is. Diego Ramírez,-57,-52,-70,-63.7166666667,(86)/,500000,-54.0833333333,,
